model,balancing,threshold,accuracy,precision,recall,f1_score,roc_auc
LogisticRegression,SVMSMOTE,0.3,0.5941432166552276,0.129714048901782,0.727061556329849,0.22015122208545806,0.7296750707677799
LogisticRegression,SVMSMOTE,0.7,0.8962251201098147,0.30935754189944137,0.2572590011614402,0.2809131261889664,0.7296750707677799
LogisticRegression,SVMSMOTE,0.5,0.8084648821779913,0.19625246548323472,0.462253193960511,0.27552786431291104,0.7296750707677799
LogisticRegression,SMOTEENN,0.3,0.3640356897735072,0.10166830225711482,0.9024390243902439,0.18274828011995062,0.7293319979626771
LogisticRegression,SMOTEENN,0.5,0.5868679935941432,0.13032480016189416,0.7479674796747967,0.22197328737613098,0.7293319979626771
LogisticRegression,SMOTEENN,0.7,0.7940517044154656,0.1865553801037672,0.4802555168408827,0.2687246141348497,0.7293319979626771
LogisticRegression,BorderlineSMOTE,0.5,0.6961793639899336,0.15258547612319864,0.627177700348432,0.24545454545454545,0.7284774888109057
LogisticRegression,BorderlineSMOTE,0.3,0.4501029512697323,0.11047215496368039,0.8478513356562137,0.19547462846431918,0.7284774888109057
LogisticRegression,BorderlineSMOTE,0.7,0.8662091054678563,0.24005190311418684,0.32229965156794427,0.2751611303916708,0.7284774888109057
RandomForest,ADASYN,0.3,0.4888583848089682,0.11629984569154551,0.8315911730545877,0.20406127538297114,0.7263443743703673
RandomForest,ADASYN,0.7,0.920841912605811,0.47368421052631576,0.041811846689895474,0.0768409818569904,0.7263443743703673
RandomForest,ADASYN,0.5,0.7805078929306795,0.17841455762392805,0.49535423925667826,0.26234045825003843,0.7263443743703673
SGD,SMOTEENN,0.3,0.30528483184625943,0.09666207227182837,0.9367015098722415,0.17524037155739042,0.7256316055720746
